序号/index,模型/model,渠道/channel,思考模式/thinking,提示词/prompt,回复内容/content,推理内容/reasoning_content,结束原因/finish_reason,提示词token数/prompt_tokens,补全token数/completion_tokens,总token数/total_tokens,缓存token数/cached_tokens,启动时间/boot_time,DNS开始/dns_start,DNS完成/dns_done,DNS耗时/dns_ms,TCP开始/tcp_start,TCP完成/tcp_done,TCP耗时/tcp_ms,TLS开始/tls_start,TLS完成/tls_done,TLS耗时/tls_ms,连接复用/conn_reused,获取连接/got_conn,请求已写/wrote_request,请求开始时间/started_at,首token时间/first_token_at,结束时间/ended_at,启动到请求耗时/startup_to_request_ms,首字节耗时/ttfb_ms,首token到结束耗时/first_token_to_end_ms,总耗时/total_ms,探测延迟/probe_latency_ms,token速率/token_rate,错误/error
1,qwen3-32b,qianfan,false,用一句话介绍你自己,我是通义千问，阿里巴巴集团旗下的超大规模语言模型，我能够回答问题、创作文字，如写故事、公文、邮件、剧本等，还能进行逻辑推理、编程，支持多语言交流。,,stop,16,46,62,,2026-06-29 18:08:21.109,2026-06-29 18:08:21.110,2026-06-29 18:08:21.125,15,2026-06-29 18:08:21.125,2026-06-29 18:08:21.132,6,2026-06-29 18:08:21.132,2026-06-29 18:08:21.165,32,false,2026-06-29 18:08:21.165,2026-06-29 18:08:21.165,2026-06-29 18:08:21.110,2026-06-29 18:08:21.816,2026-06-29 18:08:23.037,0,706,1220,1928,55,37.7,
2,qwen3-32b,qianfan,false,用一句话介绍你自己,我是通义千问，阿里巴巴集团旗下的超大规模语言模型，我能够回答问题、创作文字，如写故事、公文、邮件、剧本等，还能进行逻辑推理、编程，支持多语言交流。,,stop,16,46,62,,2026-06-29 18:08:21.109,2026-06-29 18:08:21.109,2026-06-29 18:08:21.125,15,2026-06-29 18:08:21.125,2026-06-29 18:08:21.132,7,2026-06-29 18:08:21.132,2026-06-29 18:08:21.172,40,false,2026-06-29 18:08:21.172,2026-06-29 18:08:21.172,2026-06-29 18:08:21.109,2026-06-29 18:08:21.750,2026-06-29 18:08:23.237,0,640,1486,2127,62,31.0,
3,qwen3-32b,qianfan,false,用一句话介绍你自己,我是通义千问，阿里巴巴集团旗下的超大规模语言模型，我能够回答问题、创作文字，如写故事、公文、邮件、剧本等，还能进行逻辑推理、编程，支持多语言交流。,,stop,16,46,62,,2026-06-29 18:08:21.109,2026-06-29 18:08:21.109,2026-06-29 18:08:21.125,15,2026-06-29 18:08:21.125,2026-06-29 18:08:21.135,9,2026-06-29 18:08:21.135,2026-06-29 18:08:21.165,30,false,2026-06-29 18:08:21.165,2026-06-29 18:08:21.165,2026-06-29 18:08:21.109,2026-06-29 18:08:21.819,2026-06-29 18:08:23.037,0,710,1217,1927,55,37.8,
4,qwen3-32b,qianfan,false,用一句话介绍你自己,我是通义千问，阿里巴巴集团旗下的超大规模语言模型，我能够回答问题、创作文字，如写故事、公文、邮件、剧本等，还能进行逻辑推理、编程，支持多语言交流。,,stop,16,46,62,,2026-06-29 18:08:21.109,2026-06-29 18:08:21.110,2026-06-29 18:08:21.125,15,2026-06-29 18:08:21.125,2026-06-29 18:08:21.135,9,2026-06-29 18:08:21.135,2026-06-29 18:08:21.165,29,false,2026-06-29 18:08:21.165,2026-06-29 18:08:21.165,2026-06-29 18:08:21.110,2026-06-29 18:08:21.753,2026-06-29 18:08:23.234,0,643,1481,2125,55,31.0,
5,qwen3-32b,qianfan,false,用一句话介绍你自己,我是通义千问，阿里巴巴集团旗下的超大规模语言模型，我能够回答问题、创作文字，如写故事、公文、邮件、剧本等，还能进行逻辑推理、编程，支持多语言交流。,,stop,16,46,62,,2026-06-29 18:08:21.109,2026-06-29 18:08:21.109,2026-06-29 18:08:21.125,15,2026-06-29 18:08:21.125,2026-06-29 18:08:21.135,9,2026-06-29 18:08:21.135,2026-06-29 18:08:21.170,35,false,2026-06-29 18:08:21.170,2026-06-29 18:08:21.170,2026-06-29 18:08:21.109,2026-06-29 18:08:21.791,2026-06-29 18:08:23.569,0,681,1778,2460,60,25.9,
6,qwen3-32b,qianfan,false,用一句话介绍你自己,我是通义千问，阿里巴巴集团旗下的超大规模语言模型，我能够回答问题、创作文字，如写故事、公文、邮件、剧本等，还能进行逻辑推理、编程，支持多语言交流。,,stop,16,46,62,,2026-06-29 18:08:21.109,2026-06-29 18:08:21.109,2026-06-29 18:08:21.125,15,2026-06-29 18:08:21.125,2026-06-29 18:08:21.132,7,2026-06-29 18:08:21.132,2026-06-29 18:08:21.162,29,false,2026-06-29 18:08:21.162,2026-06-29 18:08:21.162,2026-06-29 18:08:21.109,2026-06-29 18:08:21.677,2026-06-29 18:08:23.120,0,568,1442,2010,52,31.9,
7,qwen3-32b,qianfan,false,用一句话介绍你自己,我是通义千问，阿里巴巴集团旗下的超大规模语言模型，我能够回答问题、创作文字，如写故事、公文、邮件、剧本等，还能进行逻辑推理、编程，支持多语言交流。,,stop,16,46,62,,2026-06-29 18:08:21.109,2026-06-29 18:08:21.109,2026-06-29 18:08:21.125,15,2026-06-29 18:08:21.125,2026-06-29 18:08:21.132,6,2026-06-29 18:08:21.132,2026-06-29 18:08:21.162,29,false,2026-06-29 18:08:21.162,2026-06-29 18:08:21.162,2026-06-29 18:08:21.109,2026-06-29 18:08:21.753,2026-06-29 18:08:23.230,0,643,1476,2121,52,31.1,
8,qwen3-32b,qianfan,false,用一句话介绍你自己,我是通义千问，阿里巴巴集团旗下的超大规模语言模型，我能够回答问题、创作文字，如写故事、公文、邮件、剧本等，还能进行逻辑推理、编程，支持多语言交流。,,stop,16,46,62,,2026-06-29 18:08:21.109,2026-06-29 18:08:21.110,2026-06-29 18:08:21.125,15,2026-06-29 18:08:21.125,2026-06-29 18:08:21.132,6,2026-06-29 18:08:21.132,2026-06-29 18:08:21.174,41,false,2026-06-29 18:08:21.174,2026-06-29 18:08:21.174,2026-06-29 18:08:21.110,2026-06-29 18:08:25.871,2026-06-29 18:08:27.294,0,4761,1422,6184,64,32.3,
9,qwen3-32b,qianfan,false,用一句话介绍你自己,我是通义千问，阿里巴巴集团旗下的超大规模语言模型，我能够回答问题、创作文字，如写故事、公文、邮件、剧本等，还能进行逻辑推理、编程，支持多语言交流。,,stop,16,46,62,,2026-06-29 18:08:21.109,2026-06-29 18:08:21.110,2026-06-29 18:08:21.125,15,2026-06-29 18:08:21.125,2026-06-29 18:08:21.135,9,2026-06-29 18:08:21.135,2026-06-29 18:08:21.181,46,false,2026-06-29 18:08:21.181,2026-06-29 18:08:21.181,2026-06-29 18:08:21.110,2026-06-29 18:08:21.711,2026-06-29 18:08:22.759,0,601,1048,1650,71,43.9,
10,qwen3-32b,qianfan,false,用一句话介绍你自己,我是通义千问，阿里巴巴集团旗下的超大规模语言模型，我能够回答问题、创作文字，如写故事、公文、邮件、剧本等，还能进行逻辑推理、编程，支持多语言交流。,,stop,16,46,62,,2026-06-29 18:08:21.109,2026-06-29 18:08:21.109,2026-06-29 18:08:21.125,15,2026-06-29 18:08:21.125,2026-06-29 18:08:21.135,9,2026-06-29 18:08:21.135,2026-06-29 18:08:21.165,30,false,2026-06-29 18:08:21.165,2026-06-29 18:08:21.165,2026-06-29 18:08:21.109,2026-06-29 18:08:21.885,2026-06-29 18:08:23.096,0,775,1211,1987,55,38.0,
